Date,Open,High,Low,Close,Adj Close,Volume,returns,range,exp_rets_cum,rsi,bb_bbm,bb_bbh,bb_bbl,ma_20,ma_50,ma_100,dow,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,returns_T1,range_T1,rsi_T1,ma_20_T1,ma_50_T1,ma_100_T1,returns_T2,range_T2,rsi_T2,ma_20_T2,ma_50_T2,ma_100_T2
2017-02-22,1114.800048828125,1125.3900146484375,1100.550048828125,1117.43994140625,1117.43994140625,136100000,0.0019186698506590272,0.022570500857059805,0.11931477999923801,72.28473450550072,1037.0369964599608,1110.8119636119548,963.2620293079669,1037.0369964599608,960.8009777832032,960.8009777832032,2,1066.52001953125,1036.0404968261719,1051.280258178711,1036.0404968261719,0.03270437322740438,0.03743970757443904,72.02937404006988,1031.7549987792968,959.3289782714844,959.3289782714844,0.030643100290290715,0.03724721463254799,67.43001817006436,1025.441146850586,957.4579772949219,957.4579772949219
2017-02-23,1117.27001953125,1176.6199951171875,1116.9599609375,1166.719970703125,1166.719970703125,189454000,0.04410083036306922,0.05341286730601591,0.16867749123486053,77.4014927356906,1043.877493286133,1136.661932899702,951.0930536725639,1043.877493286133,961.0407775878906,961.0407775878906,3,1101.1300048828125,1061.6554870605469,1081.3927459716797,1061.6554870605469,0.0019186698506590272,0.022570500857059805,72.28473450550072,1037.0369964599608,960.8009777832032,960.8009777832032,0.03270437322740438,0.03743970757443904,72.02937404006988,1031.7549987792968,959.3289782714844,959.3289782714844
2017-02-24,1172.7099609375,1200.3900146484375,1131.9599609375,1173.6800537109375,1173.6800537109375,330759008,0.005965512875911516,0.06045271570759714,0.17564925185660996,78.0187364170125,1050.4164947509767,1159.0786681291258,941.7543213728276,1050.4164947509767,964.2467785644532,964.2467785644532,4,1121.0399780273438,1088.1960144042969,1104.6179962158203,1073.5404968261719,0.04410083036306922,0.05341286730601591,77.4014927356906,1043.877493286133,961.0407775878906,961.0407775878906,0.0019186698506590272,0.022570500857059805,72.28473450550072,1037.0369964599608,960.8009777832032,960.8009777832032
2017-02-25,1170.4100341796875,1174.8499755859375,1124.5899658203125,1143.8399658203125,1143.8399658203125,139960992,-0.025424380176076733,0.04469185329158054,0.14575909832368739,69.28167049136991,1056.2414947509765,1171.614061572964,940.8689279289889,1056.2414947509765,969.0795581054688,969.0795581054688,5,1121.0399780273438,1088.1960144042969,1104.6179962158203,1073.5404968261719,0.005965512875911516,0.06045271570759714,78.0187364170125,1050.4164947509767,964.2467785644532,964.2467785644532,0.04410083036306922,0.05341286730601591,77.4014927356906,1043.877493286133,961.0407775878906,961.0407775878906
2017-02-26,1144.27001953125,1167.469970703125,1130.199951171875,1165.199951171875,1165.199951171875,116486000,0.01867392816288249,0.032976483048513305,0.167154921417753,71.72278871698407,1062.5939910888671,1186.9255684195557,938.2624137581786,1062.5939910888671,974.2118566894532,974.2118566894532,6,1121.0399780273438,1088.1960144042969,1104.6179962158203,1073.5404968261719,-0.025424380176076733,0.04469185329158054,69.28167049136991,1056.2414947509765,969.0795581054688,969.0795581054688,0.005965512875911516,0.06045271570759714,78.0187364170125,1050.4164947509767,964.2467785644532,964.2467785644532
2017-02-27,1163.780029296875,1181.97998046875,1163.3800048828125,1179.969970703125,1179.969970703125,131570000,0.012675952755057507,0.015987876281070346,0.18194972205947724,73.3026679280873,1068.5249908447265,1202.9599144780145,934.0900672114385,1068.5249908447265,979.5872766113281,979.5872766113281,0,1138.6600341796875,1093.4305114746094,1116.0452728271484,1073.5404968261719,0.01867392816288249,0.032976483048513305,71.72278871698407,1062.5939910888671,974.2118566894532,974.2118566894532,-0.025424380176076733,0.04469185329158054,69.28167049136991,1056.2414947509765,969.0795581054688,969.0795581054688
2017-02-28,1180.719970703125,1193.25,1171.8199462890625,1179.969970703125,1179.969970703125,184956000,0.0,0.01828783831407077,0.18194972205947724,73.3026679280873,1074.3699920654296,1217.2480440542315,931.4919400766278,1074.3699920654296,985.1301159667969,985.1301159667969,1,1150.4700317382812,1100.9850158691406,1125.727523803711,1073.5404968261719,0.012675952755057507,0.015987876281070346,73.3026679280873,1068.5249908447265,979.5872766113281,979.5872766113281,0.01867392816288249,0.032976483048513305,71.72278871698407,1062.5939910888671,974.2118566894532,974.2118566894532
2017-03-01,1180.0400390625,1222.5,1179.68994140625,1222.5,1222.5,229056992,0.03604331495955959,0.03628924609013651,0.22455110815803092,77.50065552924815,1085.7758422851562,1237.4421865833472,934.1094979869652,1085.7758422851562,991.4265356445312,991.4265356445312,2,1169.72998046875,1115.0750122070312,1142.4024963378906,1084.5954895019531,0.0,0.01828783831407077,73.3026679280873,1074.3699920654296,985.1301159667969,985.1301159667969,0.012675952755057507,0.015987876281070346,73.3026679280873,1068.5249908447265,979.5872766113281,979.5872766113281
2017-03-02,1224.6800537109375,1262.1300048828125,1215.6199951171875,1251.010009765625,1251.010009765625,368275008,0.023321071382924385,0.03826031979766942,0.25310895196342353,79.7943353627323,1098.892642211914,1259.7938265868625,937.9914578369658,1098.892642211914,1000.8915954589844,1000.8915954589844,3,1193.3599853515625,1143.885009765625,1168.6224975585938,1104.4104919433594,0.03604331495955959,0.03628924609013651,77.50065552924815,1085.7758422851562,991.4265356445312,991.4265356445312,0.0,0.01828783831407077,73.3026679280873,1074.3699920654296,985.1301159667969,985.1301159667969
2017-03-03,1250.7099609375,1280.31005859375,1250.7099609375,1274.989990234375,1274.989990234375,315739008,0.019168496080413044,0.023666636215212034,0.27712916599746484,81.50243656715388,1112.4196411132812,1284.3947714659332,940.4445107606292,1112.4196411132812,1010.2947155761718,1010.2947155761718,4,1202.4500122070312,1161.0,1181.7250061035156,1128.1560363769531,0.023321071382924385,0.03826031979766942,79.7943353627323,1098.892642211914,1000.8915954589844,1000.8915954589844,0.03604331495955959,0.03628924609013651,77.50065552924815,1085.7758422851562,991.4265356445312,991.4265356445312
