Date,Open,Adj Close,Volume,returns,range,ma_12,ma_21,hmm_predictions,ma_signal,hmm_signal,combined_signal,lrets_bench,lrets_bench_prod,lrets_bench_prod_exp,lrets_strat,lrets_strat_prod,lrets_strat_prod_exp
2023-02-22,24437.41796875,24188.84375,30199996781,-0.01012875204423358,0.03501989238132075,23550.6806640625,23250.04268973214,1,1.0,1,1.0,-0.010180396881003117,-0.010180396881003117,-0.01012875204423358,-0.01014644409073966,-0.01014644409073966,-0.010095142582799643
2023-02-23,24190.71875,23947.4921875,30476264066,-0.00997780485063493,0.03706309149227116,23723.732096354168,23272.691313244046,1,1.0,1,1.0,-0.010027916762018151,-0.020208313643021267,-0.020005494183590655,-0.010167415322211848,-0.02031385941295151,-0.020108922999901413
2023-02-24,23946.0078125,23198.126953125,26811744928,-0.03129201289670536,0.047665030988687906,23841.225748697918,23260.729631696428,3,1.0,0,1.0,-0.03179206740644356,-0.052000381049464826,-0.05067149489829814,-0.03164395496072153,-0.05195781437367304,-0.05063108427953489
2023-02-25,23200.125,23175.375,16100721565,-0.0009807668166905703,0.015250593800079537,23955.165201822918,23253.27855282738,1,1.0,1,0.0,-0.000981248083164121,-0.052981629132628945,-0.05160256479424041,-0.0,-0.05195781437367304,-0.05063108427953489
2023-02-26,23174.150390625,23561.212890625,16644534842,0.016648614774302573,0.024698537226245598,24066.865885416668,23282.114118303572,1,1.0,1,1.0,0.016511545833869257,-0.036470083298759684,-0.035813061242563116,0.016574501436847782,-0.035383312936825256,-0.03476464186179029
2023-02-27,23561.451171875,23522.87109375,22660763494,-0.0016273269569350157,0.0280968336249654,24001.45166015625,23318.436104910714,1,1.0,1,1.0,-0.001628652491694882,-0.038098735790454565,-0.037382108639527734,-0.0016826900323093762,-0.037066002969134634,-0.03638746803813453
2023-02-28,23521.837890625,23147.353515625,20535363434,-0.01596393470118429,0.022001129508672168,23961.77490234375,23312.867652529763,1,1.0,1,1.0,-0.016092730875103014,-0.054191466665557575,-0.052749277799397976,-0.015894322572598055,-0.05296032554173269,-0.051582360308060404
2023-03-01,23150.9296875,23646.55078125,24662841200,0.02156606219747892,0.034302856596147846,23885.187337239582,23346.541573660714,1,1.0,1,1.0,0.021336804939163678,-0.0328546617263939,-0.032320809807813045,0.021202143934480975,-0.03175818160725172,-0.03125918689621432
2023-03-02,23647.01953125,23475.466796875,20386398516,-0.007235050302163204,0.021256903885080947,23788.036458333332,23425.419084821428,1,1.0,1,1.0,-0.007261350209481709,-0.040116011935875606,-0.03932201742521002,-0.007231504894093288,-0.038989686501345,-0.038239371787837984
2023-03-03,23476.6328125,22362.6796875,26062404610,-0.047402129167592566,0.056997964860833195,23624.28955078125,23459.299851190477,3,1.0,0,1.0,-0.04856242572977136,-0.08867843766564697,-0.08486019924368249,-0.04860117677112041,-0.08759086327246542,-0.08386437521199663
2023-03-04,22362.923828125,22353.349609375,11166012913,-0.0004172164631153219,0.009288591695247872,23417.972981770832,23482.274832589286,1,0.0,1,0.0,-0.0004173035221196778,-0.08909574118776664,-0.08524201063461001,-0.0,-0.08759086327246542,-0.08386437521199663
2023-03-05,22354.14453125,22435.513671875,13317001733,0.0036756935285233716,0.013741920000574392,23251.236328125,23513.099144345237,1,0.0,1,0.0,0.00366895467532336,-0.08542678651244329,-0.08187964061293462,0.0,-0.08759086327246542,-0.08386437521199663
2023-03-06,22436.81640625,22429.7578125,17353192895,-0.00025655126328649747,0.011328420284261398,23104.645833333332,23542.701822916668,1,0.0,1,0.0,-0.0002565841781915384,-0.08568337069063482,-0.0821151855509844,-0.0,-0.08759086327246542,-0.08386437521199663
2023-03-07,22428.322265625,22219.76953125,22765452204,-0.00936203961743065,0.023449643941143128,22960.6689453125,23542.652529761905,1,0.0,1,0.0,-0.009406138966041635,-0.09508950965667645,-0.09070845954809414,-0.0,-0.08759086327246542,-0.08386437521199663
2023-03-08,22216.44140625,21718.080078125,22536575684,-0.022578517406286358,0.025835838914170184,22837.331705729168,23419.330543154763,1,0.0,1,0.0,-0.022837315061132093,-0.11792682471780855,-0.11123891442157641,-0.0,-0.08759086327246542,-0.08386437521199663
2023-03-09,21720.080078125,20363.021484375,30364664171,-0.06239311158608585,0.07879198393997022,22602.968912760418,23264.070870535714,3,0.0,0,0.0,-0.06442451332853331,-0.18235133804634185,-0.16669148400744183,-0.0,-0.08759086327246542,-0.08386437521199663
2023-03-10,20367.001953125,20187.244140625,39578257695,-0.008632183779056501,0.03782006287572148,22321.804850260418,23055.577659970237,1,0.0,1,0.0,-0.00866965688311379,-0.19102099492945565,-0.1738847562621424,-0.0,-0.08759086327246542,-0.08386437521199663
2023-03-11,20187.876953125,20632.41015625,30180288176,0.022051846825845045,0.03606943506637461,22080.93310546875,22864.679222470237,1,0.0,1,0.0,0.021812221244110887,-0.16920877368534476,-0.15566738944673952,0.0,-0.08759086327246542,-0.08386437521199663
