,base_asset,compared_asset,label,hedge_ratio
315,FID,QABA,2,0.31388411017295786
314,FID,PSCU,2,0.2781962661208147
313,FID,PIE,2,0.7822295235134428
312,FID,PDBC,2,1.3040311087455225
311,FID,NXTG,2,0.24884151035685875
310,FID,KBWD,2,1.047568058827884
309,FID,IPKW,2,0.46246206194954464
308,FID,FTXR,2,0.567345702336852
307,FID,FTGC,2,0.769927113464621
337,FSZ,HEWG,2,1.962004855568676
306,FGM,IMOM,2,1.5694491739883238
338,FTA,FTGC,2,2.9299811960372355
340,FTA,INDY,2,1.4719991555862215
366,FTXR,INDY,2,0.6839339987718676
359,FTXH,VTHR,2,0.14824167627013615
358,FTXH,SRET,2,0.8554582111435551
357,FTXH,QQXT,2,0.3442356367960633
356,FTXH,FVC,2,0.7828235457508955
355,FTXG,IGF,2,0.522465183638704
353,FTRI,PY,2,0.31044659192814494
352,FTRI,PEY,2,0.6304250267445486
351,FTRI,LVHD,2,0.33784607243495224
350,FTRI,KBWP,2,0.15335882579472207
349,FTRI,IMCV,2,0.19533129979933547
348,FTRI,IGF,2,0.2503760671143012
347,FTRI,FTXG,2,0.4794741754877258
343,FTDS,INDY,2,0.9890050108907102
341,FTA,PY,2,1.6522334666804372
339,FTA,FTRI,2,5.31200100502018
305,FEX,INDY,2,1.8330266947260423
304,FEUZ,SMCP,2,1.4637071971382691
303,FEP,SMCP,2,1.3069861065659136
282,FEM,IEUS,2,0.40766887225712867
281,FEM,FTXR,2,0.8074312358370289
280,FEM,FKU,2,0.6419952495992287
279,FEM,FEUZ,2,0.5639219251484985
278,FEM,FEP,2,0.6315993373210137
277,FDT,SMCP,2,1.963849802320814
276,FDT,FEUZ,2,1.3406395941876166
275,FDT,FEM,2,2.374824950359667
274,FCVT,SDG,2,0.41943675740833736
273,FCEF,PSCU,2,0.3358742738897465
272,FCEF,PFI,2,0.4555454387085287
271,FCEF,ISHP,2,0.7003259996430921
270,FCA,IMOM,2,0.8516156912302402
269,FCA,FPXI,2,0.48502667249829556
205,FAB,PY,2,1.756834615300861
283,FEM,IFV,2,1.1219937786509706
284,FEM,IMOM,2,0.8037117769351637
285,FEM,KBWD,2,1.4893920330750734
286,FEM,PIE,2,1.115954860363424
302,FEP,RFDI,2,0.6045064255140232
301,FEP,PIE,2,1.7677401119536542
300,FEP,FTXR,2,1.279932758011106
299,FEP,FKU,2,1.0163009252693693
298,FEMS,VTWV,2,0.29407812386279575
297,FEMS,IPKW,2,1.0379697946598487
296,FEMS,HEWG,2,1.2355849441837137
368,FTXR,IXUS,2,0.45207286451823053
295,FEMS,FTXR,2,1.2719626264646755
293,FEM,SMCP,2,0.8257170985341935
292,FEM,SCZ,2,0.3656900083010339
291,FEM,RFEU,2,0.36794200324110454
290,FEM,RFDI,2,0.3819149179724337
289,FEM,QABA,2,0.44649417449839246
288,FEM,PSCU,2,0.39557427507315596
287,FEM,PSCF,2,0.44613520227951337
294,FEM,WOOD,2,0.29769868827276197
520,VTWO,VXUS,2,1.343468750103992
