Date,asset_1,asset_2,spread,z_score
2017-05-25 00:00:00,50.461055755615234,42.63371658325195,-6.8160101747740995,-2.005521487748102
2017-05-26 00:00:00,50.401668548583984,42.593017578125,-6.820719540256967,-1.9660809690926655
2017-05-30 00:00:00,49.999656677246094,42.50349044799805,-7.102454509982799,-2.1024635266379677
2017-05-31 00:00:00,49.967681884765625,42.48720169067383,-7.112545866020156,-2.051591652675239
2017-06-01 00:00:00,50.931583404541016,42.80463409423828,-6.575104860704009,-1.6719521301546332
2017-06-02 00:00:00,51.23765182495117,43.1709098815918,-6.761116514523032,-1.7470532565590287
2017-06-05 00:00:00,50.94528579711914,42.99998474121094,-6.823849957646239,-1.748567850202265
2017-06-06 00:00:00,50.858489990234375,42.91044235229492,-6.790348363212679,-1.6892507558430963
2017-06-07 00:00:00,50.927024841308594,42.92672348022461,-6.743686698728446,-1.621180427891383
2017-06-08 00:00:00,51.6259651184082,42.88603591918945,-5.990083954860154,-1.1303863182729865
2017-06-09 00:00:00,51.84067535400391,42.6906852722168,-5.512926229744082,-0.8156419994056376
2017-06-12 00:00:00,51.83152770996094,42.54418182373047,-5.325251068963205,-0.6825939802094614
2017-06-13 00:00:00,52.08279800415039,42.89418029785156,-5.544192787339526,-0.80349823276827
2017-06-14 00:00:00,51.80870056152344,42.83720397949219,-5.741744326754677,-0.9098092057669811
2017-06-15 00:00:00,51.530029296875,42.41394805908203,-5.451784489035568,-0.7110327404771958
2017-06-16 00:00:00,51.45236206054688,42.7150993347168,-5.934039053232951,-0.9972335098754246
2017-06-19 00:00:00,51.799560546875,42.90230941772461,-5.838351463130202,-0.9179049115271851
2017-06-20 00:00:00,51.260498046875,42.48720169067383,-5.819729703910781,-0.8879870629023975
2017-06-21 00:00:00,51.1097412109375,42.41809844970703,-5.877648495078482,-0.9068294398217874
2017-06-22 00:00:00,51.3381462097168,42.566192626953125,-5.8482033955016774,-0.8700446820207556
2017-06-23 00:00:00,51.64424896240234,42.673133850097656,-5.685772834208713,-0.7490331801667249
2017-06-26 00:00:00,51.73103332519531,42.79653549194336,-5.76477472094696,-0.7835758386979674
2017-06-27 00:00:00,51.28791427612305,42.69781875610352,-6.075270920306139,-0.9658922809243178
2017-06-28 00:00:00,52.01945877075195,43.109161376953125,-5.896352382374545,-0.8323925099334634
2017-06-29 00:00:00,51.76276779174805,42.6649055480957,-5.556199538256955,-0.59484387854721
2017-06-30 00:00:00,51.67111587524414,42.75539779663086,-5.7694249627944885,-0.7193278299141959
2017-07-03 00:00:00,52.10194778442383,42.788307189941406,-5.382805795112404,-0.4498596341269033
2017-07-05 00:00:00,51.93694686889648,42.75539779663086,-5.503593969142152,-0.5152371780050469
2017-07-06 00:00:00,51.240234375,42.5003776550293,-5.857694872149835,-0.7377253125660601
2017-07-07 00:00:00,51.72609329223633,42.54972839355469,-5.4381371299169246,-0.4371041336258275
2017-07-10 00:00:00,51.496917724609375,42.68136978149414,-5.844168788460848,-0.701548383923873
2017-07-11 00:00:00,51.64360046386719,42.82944869995117,-5.8964254486992544,-0.7229782669014007
2017-07-12 00:00:00,52.04695129394531,43.24079132080078,-6.045700575318456,-0.813200655985043
2017-07-13 00:00:00,52.11570358276367,43.40532684326172,-6.197996619208396,-0.907913408701131
2017-07-14 00:00:00,52.17072296142578,43.79199981689453,-6.662460297131759,-1.2311341284327093
2017-07-17 00:00:00,52.31739044189453,43.62746047973633,-6.294739359028135,-0.9446275269896561
2017-07-18 00:00:00,52.179874420166016,43.74264144897461,-6.586997413534974,-1.1456427998733292
2017-07-19 00:00:00,52.68408203125,43.97299957275391,-6.392268743081068,-0.9842662827709572
2017-07-20 00:00:00,52.7344970703125,44.13753128051758,-6.562896911800294,-1.1106856590665943
2017-07-21 00:00:00,52.473243713378906,43.94829940795898,-6.569923161427752,-1.1042434022921934
2017-07-24 00:00:00,52.560325622558594,43.94829940795898,-6.482841252248065,-1.027583593245553
2017-07-25 00:00:00,52.986602783203125,43.997676849365234,-6.122901141092925,-0.7165392300158876
2017-07-26 00:00:00,52.7436637878418,44.23624420166016,-6.686347919057539,-1.1936292941531237
2017-07-27 00:00:00,52.41823196411133,44.11285018920898,-6.846003743109897,-1.323596796823024
2017-07-28 00:00:00,52.24405670166016,44.11285018920898,-7.020179005561062,-1.4644428351675909
2017-07-31 00:00:00,52.0836296081543,44.19512176513672,-7.291135390347662,-1.693234598872773
2017-08-01 00:00:00,52.179874420166016,44.4748420715332,-7.570686068749133,-1.918437304470191
2017-08-02 00:00:00,51.64360046386719,44.46660614013672,-8.09589530858878,-2.338485634527337
2017-08-03 00:00:00,51.39150619506836,44.39256286621094,-8.248514752712936,-2.402561623825143
2017-08-04 00:00:00,51.60234832763672,44.4748420715332,-8.14821216127843,-2.251060646565416
2017-08-07 00:00:00,51.69401931762695,44.52419662475586,-8.12284747121818,-2.1718389660282016
2017-08-08 00:00:00,51.56109237670898,44.359649658203125,-8.034710704648148,-2.0404761815971386
2017-08-09 00:00:00,51.08440017700195,44.2280158996582,-8.334557063291335,-2.245017464071687
2017-08-10 00:00:00,50.17225646972656,43.52051162719727,-8.296190889950402,-2.1498061373794384
2017-08-11 00:00:00,50.24100875854492,43.52873229980469,-8.238482817884943,-2.03276292492323
2017-08-14 00:00:00,51.00647735595703,43.85782241821289,-7.915136510522274,-1.7107975118318086
2017-08-15 00:00:00,50.62602996826172,43.76730728149414,-8.173979640624559,-1.8729709103475332
2017-08-16 00:00:00,50.60771179199219,44.088165283203125,-8.623360515410923,-2.1675667083548036
