Date,Open,High,Low,Close,Adj Close,Volume,DXY,lrets,lrets_prod,range,lrets_T1,lrets_T2,lrets_T3,lrets_T4,lrets_T5,lrets_T6,lrets_T7
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,9.119257226166671e-05,0.004753799801557879,-0.07240150831598655,-0.1367447486210558,0.11261215466719365,-0.07464335114905024,-0.07464335114905024,-0.07464335114905024,-0.07464335114905024,-0.07464335114905024,-0.07464335114905024,-0.07464335114905024
2014-09-20,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,408.90399169921875,8.818341480579805e-05,0.004753799801557879,0.035111238924079614,-0.1058963943557425,0.08570005555866045,-0.07240150831598655,-0.07240150831598655,-0.07240150831598655,-0.07240150831598655,-0.07240150831598655,-0.07240150831598655,-0.07240150831598655
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,5.8882524078191254e-05,0.004753799801557879,-0.024967658573127677,-0.1279436879455058,0.048946910275769806,0.035111238924079614,0.035111238924079614,0.035111238924079614,0.035111238924079614,0.035111238924079614,0.035111238924079614,0.035111238924079614
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,5.18945885981061e-05,0.0003393720839257597,0.008317415847792081,-0.1206601849829585,0.024641754851782327,-0.024967658573127677,-0.024967658573127677,-0.024967658573127677,-0.024967658573127677,-0.024967658573127677,-0.024967658573127677,-0.024967658573127677
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,0.00011165005611892068,0.0,0.08033258980830758,-0.047105680057969224,0.11448854207209758,0.008317415847792081,0.008317415847792081,0.008317415847792081,0.008317415847792081,0.008317415847792081,0.008317415847792081,0.008317415847792081
2014-09-24,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,423.2049865722656,7.041539569865717e-05,0.013242765027577263,-0.029306072958098176,-0.07462604400490314,0.03557082196197259,0.08033258980830758,0.08033258980830758,0.08033258980830758,0.08033258980830758,0.08033258980830758,0.08033258980830758,0.08033258980830758
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,5.955011766962202e-05,0.018335936913060902,-0.027867817193167922,-0.10005818127561206,0.0343177058944224,-0.029306072958098176,-0.029306072958098176,-0.029306072958098176,-0.029306072958098176,-0.029306072958098176,-0.029306072958098176,-0.029306072958098176
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,404.42498779296875,4.429604574865001e-05,0.03327659861090604,-0.0175225712651671,-0.11569012008004065,0.03732162400214545,-0.027867817193167922,-0.027867817193167922,-0.027867817193167922,-0.027867817193167922,-0.027867817193167922,-0.027867817193167922,-0.027867817193167922
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,2.5970701389764123e-05,0.03327659861090604,-0.012202475999442203,-0.12641532008609968,0.023280393048628945,-0.0175225712651671,-0.0175225712651671,-0.0175225712651671,-0.0175225712651671,-0.0175225712651671,-0.0175225712651671,-0.0175225712651671
2014-09-28,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,377.1809997558594,5.04291878978379e-05,0.03327659861090604,-0.05753862134517328,-0.17526143371501846,0.07128697922267291,-0.012202475999442203,-0.012202475999442203,-0.012202475999442203,-0.012202475999442203,-0.012202475999442203,-0.012202475999442203,-0.012202475999442203
